# 字 8500-8999
 8500 | designate                      | 指定                             | 🏃        | chunks=['de', 'sig', 'na', 'te'] | py=ㄉㄧ-ㄒㄧㄍ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8960 | throb                          | 跳動                             | 🏃        | chunks=['thr', 'ob'] | py=ㄒㄖㄚㄅ | theme=actions | stage=4
 8961 | toll                           | 通行費                            | 🏃        | chunks=['t', 'oll'] | py=ㄊㄛㄌ | theme=actions | stage=4 [有易混提示]
 8962 | topple                         | 倒塌                             | 🏃        | chunks=['top', 'ple'] | py=ㄊㄚㄆ-ㄆㄜ | theme=actions | stage=4
 8963 | trait                          | 特徵                             | 🏃        | chunks=['tr', 'ait'] | py=ㄊㄖㄟㄊ | theme=actions | stage=3 [有易混提示]
 8964 | tranquil                       | 平靜的                            | 🎨        | chunks=['tran', 'quil'] | py=ㄊㄌㄚㄣ-ㄎㄨㄧㄌ | theme=adjectives | stage=4
 8965 | tranquilizer                   | 鎮定劑                            | 🏃        | chunks=['tran', 'qui', 'li', 'zer'] | py=ㄊㄌㄚㄣ-ㄎㄧ-ㄌㄧ-ㄗㄜ | theme=actions | stage=4
 8966 | transaction                    | 交易                             | 🎓        | chunks=['tran', 'sac', 'tion'] | py=ㄊㄌㄚㄣ-ㄙㄚ-ㄒㄣ | theme=academic-words | stage=4
 8967 | transcript                     | 抄本                             | 🏃        | chunks=['trans', 'cript'] | py=ㄊㄖㄢㄙ-ㄎㄖㄧㄆㄊ | theme=actions | stage=4
 8968 | transformation                 | 轉變                             | 🎓        | chunks=['tran', 'sfor', 'ma', 'tion'] | py=ㄊㄌㄚㄣ-ㄙㄈㄛㄜ-ㄇㄚ-ㄒㄣ | theme=academic-words | stage=4 base=transform
 8969 | transistor                     | 電晶體                            | 🏃        | chunks=['tran', 'sis', 'tor'] | py=ㄊㄌㄚㄣ-ㄒㄜㄙ-ㄊㄜ | theme=actions | stage=4
 8970 | transition                     | 過渡                             | 🎓        | chunks=['tran', 'si', 'tion'] | py=ㄊㄌㄚㄣ-ㄗㄜ-ㄒㄣ | theme=academic-words | stage=4
 8971 | transmission                   | 傳輸                             | 🎓        | chunks=['tran', 'smis', 'sion'] | py=ㄊㄌㄚㄣ-ㄙㄇㄧㄙ-ㄒㄣ | theme=academic-words | stage=4
 8972 | tread                          | 踩                              | 🏃        | chunks=['tr', 'ead'] | py=ㄊㄖㄝㄉ | theme=actions | stage=4 [有易混提示]
 8973 | treason                        | 叛國罪                            | ⚖️       | chunks=['trea', 'son'] | py=ㄊㄌㄧ-ㄗㄣ | theme=countries | stage=4
 8974 | trek                           | 移居                             | 🏃        | chunks=['tr', 'ek'] | py=ㄊㄖㄝㄎ | theme=actions | stage=4
 8975 | tremor                         | 顫抖                             | 🏃        | chunks=['tre', 'mor'] | py=ㄊㄌㄜ-ㄇㄜ | theme=actions | stage=4
 8976 | triumphant                     | 勝利的                            | 🎨        | chunks=['trium', 'phant'] | py=ㄊㄖㄧㄚㄇ-ㄈㄢㄊ | theme=adjectives | stage=4 base=triumph
 8977 | tropic                         | 回歸線                            | 🎨        | chunks=['tro', 'pic'] | py=ㄊㄌㄛ-ㄆㄧㄎ | theme=adjectives | stage=4
 8978 | truant                         | 逃學者逃學的逃學                       | 🎨        | chunks=['tr', 'uant'] | py=ㄊㄖㄨ-ㄜㄣㄊ | theme=adjectives | stage=4
 8979 | truce                          | 停戰                             | 🏃        | chunks=['tru', 'ce'] | py=ㄊㄌㄨ-ㄙㄜ | theme=actions | stage=4
 8980 | turmoil                        | 騷動                             | 🏃        | chunks=['tur', 'moil'] | py=ㄊㄜ-ㄇㄛㄧㄌ | theme=actions | stage=4
 8981 | twilight                       | 薄暮昏暗的                          | 🎨        | chunks=['twi', 'light'] | py=ㄊㄨㄧ-ㄌㄞㄊ | theme=adjectives | stage=4
 8982 | tyranny                        | 暴政                             | 🏃        | chunks=['ty', 'ran', 'ny'] | py=ㄊㄧ-ㄌㄚㄣ-ㄋㄧ | theme=actions | stage=4
 8983 | unanimous                      | 一致同意的                          | 🔢        | chunks=['u', 'na', 'ni', 'mous'] | py=ㄧㄨ-ㄋㄚ-ㄋㄜ-ㄇㄚㄙ | theme=numbers | stage=4
 8984 | uncover                        | 揭露                             | 🏃        | chunks=['un', 'co', 'ver'] | py=ㄚㄣ-ㄎㄛ-ㄈㄜ | theme=actions | stage=4 base=cover
 8985 | underestimate                  | 低估                             | 🏃        | chunks=['un', 'de', 'res', 'ti', 'ma', 'te'] | py=ㄚㄣ-ㄉㄧ-ㄌㄝㄙ-ㄊㄜ-ㄇㄚ-ㄊㄧ | theme=actions | stage=4 base=estimate
 8986 | undermine                      | 暗中破壞                           | 🎨        | chunks=['un', 'der', 'mi', 'ne'] | py=ㄚㄣ-ㄉㄜ-ㄇㄞ-ㄋㄧ | theme=adjectives | stage=4 base=mine
 8987 | undo                           | 解開                             | 🏃        | chunks=['un', 'do'] | py=ㄚㄣ-ㄉㄛ | theme=actions | stage=2
 8988 | unfold                         | 展開                             | 🏃        | chunks=['un', 'fold'] | py=ㄚㄣ-ㄈㄛㄌㄉ | theme=actions | stage=3
 8989 | unlock                         | 開…的鎖                           | 🏃        | chunks=['un', 'lock'] | py=ㄚㄣ-ㄌㄚㄎ | theme=actions | stage=2
 8990 | unpack                         | 打開包裹                           | 🏃        | chunks=['un', 'pack'] | py=ㄚㄣ-ㄆㄚㄎ | theme=actions | stage=2
 8991 | upbringing                     | 養育                             | 🏃        | chunks=['up', 'brin', 'ging'] | py=ㄚㄆ-ㄅㄖㄧㄋ-ㄍㄧㄥ | theme=actions | stage=4
 8992 | upgrade                        | 升級上坡                           | 🏃        | chunks=['up', 'gra', 'de'] | py=ㄚㄆ-ㄍㄌㄝ-ㄉㄧ | theme=directions | stage=3
 8993 | uphold                         | 舉起                             | 🏃        | chunks=['up', 'hold'] | py=ㄚㄆ-ㄏㄛㄉ | theme=actions | stage=4
 8994 | uranium                        | 鈾                              | 🏃        | chunks=['u', 'ra', 'nium'] | py=ㄧㄨ-ㄌㄚ-ㄋㄧㄚㄇ | theme=actions | stage=4
 8995 | urine                          | 尿                              | 🎨        | chunks=['u', 'ri', 'ne'] | py=ㄧㄨ-ㄌㄧ-ㄋㄧ | theme=adjectives | stage=4
 8996 | usher                          | 引座員招待                          | 👨‍⚕️     | chunks=['us', 'her'] | py=ㄚㄙ-ㄏㄜ | theme=jobs | stage=4
 8997 | utensil                        | 器皿                             | 🏃        | chunks=['u', 'ten', 'sil'] | py=ㄧㄨ-ㄊㄣ-ㄗㄦ | theme=actions | stage=4
 8998 | utility                        | 效用                             | 🎓        | chunks=['u', 'ti', 'li', 'ty'] | py=ㄧㄨ-ㄊㄜ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8999 | utmost                         | 極度的極度                          | 🏃        | chunks=['ut', 'most'] | py=ㄚ-ㄇㄛㄙㄊ | theme=actions | stage=4
