# 字 7000-7499
 7000 | sexual                         | 性的                             | 🎨        | chunks=['se', 'xual'] | py=ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=adjectives | stage=2 base=sex
 7464 | messenger                      | 送信人                            | 👨‍⚕️     | chunks=['mes', 'sen', 'ger'] | py=ㄇㄝㄙ-ㄙㄜㄣ-ㄐㄜ | theme=jobs | stage=3
 7465 | mischief                       | 頑皮，淘氣                          | 🏃        | chunks=['mis', 'chief'] | py=ㄇㄧㄙ-ㄑㄧㄈ | theme=actions | stage=3
 7466 | misfortune                     | 不幸                             | 🏃        | chunks=['mis', 'for', 'tu', 'ne'] | py=ㄇㄧㄙ-ㄈㄛ-ㄑㄨ-ㄋㄧ | theme=actions | stage=3 base=fortune
 7467 | mislead                        | 誤導                             | 🏃        | chunks=['mis', 'lead'] | py=ㄇㄧㄙ-ㄌㄧ | theme=actions | stage=3 base=lead
 7468 | misunderstand                  | 誤會                             | 🏃        | chunks=['mi', 'sun', 'der', 'stand'] | py=ㄇㄞ-ㄙㄚㄣ-ㄉㄜ-ㄙㄉㄢㄉ | theme=actions | stage=3 base=understand
 7469 | modesty                        | 謙遜，虛心                          | 🏃        | chunks=['mo', 'des', 'ty'] | py=ㄇㄛ-ㄉㄧ-ㄊㄧ | theme=actions | stage=3
 7470 | motivate                       | 給…動機                           | 🏃        | chunks=['mo', 'ti', 'va', 'te'] | py=ㄇㄛ-ㄊㄜ-ㄈㄟㄊ | theme=actions | stage=3
 7471 | motivation                     | 動機                             | 🎓        | chunks=['mo', 'ti', 'va', 'tion'] | py=ㄇㄛ-ㄊㄜ-ㄈㄟ-ㄒㄣ | theme=academic-words | stage=3 base=motive
 7472 | mountainous                    | 多山的                            | 🌳        | chunks=['moun', 'tai', 'nous'] | py=ㄇㄠㄣ-ㄊㄞ-ㄋㄜㄙ | theme=nature | stage=3 base=mountain
 7473 | mow                            | 刈                              | 🏃        | chunks=['m', 'ow'] | py=ㄝㄇ-ㄛ | theme=actions | stage=3 [有易混提示]
 7474 | muddy                          | 多爛泥的                           | 🎨        | chunks=['mud', 'dy'] | py=ㄇㄨㄉ-ㄉㄧ | theme=adjectives | stage=3 base=mud
 7475 | murderer                       | 謀殺犯，兇手                         | ⚖️       | chunks=['mur', 'de', 'rer'] | py=ㄇㄜ-ㄉㄧ-ㄖㄜ | theme=crime | stage=3 base=murder
 7476 | murmur                         | 低語聲                            | 🏃        | chunks=['mur', 'mur'] | py=ㄇㄜ-ㄇㄜ | theme=actions | stage=3 [有易混提示]
 7477 | mysterious                     | 神祕的                            | 🎨        | chunks=['mys', 'te', 'rious'] | py=ㄇㄧㄙ-ㄊㄧ-ㄖㄧㄜㄙ | theme=adjectives | stage=3 base=mystery
 7478 | nationality                    | 國籍                             | 🌍        | chunks=['na', 'tio', 'na', 'li', 'ty'] | py=ㄋㄚ-ㄒㄜ-ㄋㄚ-ㄌㄜ-ㄊㄧ | theme=countries | stage=3 base=nation
 7479 | nearsighted                    | 近視的                            | 🎨        | chunks=['near', 'sig', 'hted'] | py=ㄋㄧㄦ-ㄒㄧㄍ-ㄏㄊㄝㄉ | theme=adjectives | stage=3
 7480 | needy                          | 貧窮的                            | 🎨        | chunks=['nee', 'dy'] | py=ㄋㄧ-ㄉㄧ | theme=adjectives | stage=3 base=need
 7481 | neglect                        | 忽視，忽略                          | 🏃        | chunks=['neg', 'lect'] | py=ㄋㄝㄍ-ㄌㄝㄎㄊ | theme=actions | stage=3
 7482 | nightmare                      | 夢魘                             | 🏃        | chunks=['nigh', 'tma', 're'] | py=ㄋㄧ-ㄊㄇㄚ-ㄌㄧ | theme=actions | stage=3
 7483 | nonsense                       | 胡說                             | 🏃        | chunks=['non', 'sen', 'se'] | py=ㄋㄚㄣ-ㄙㄝㄣ-ㄙㄜ | theme=actions | stage=3
 7484 | noun                           | 名詞                             | 🏃        | chunks=['n', 'oun'] | py=ㄝㄣ-ㄠㄋ | theme=actions | stage=3 [有易混提示]
 7485 | nursery                        | 幼兒室，育兒室                        | 🏃        | chunks=['nur', 'se', 'ry'] | py=ㄋㄜ-ㄙㄜ-ㄌㄧ | theme=actions | stage=3
 7486 | obedience                      | 服從，順從                          | 🎓        | chunks=['o', 'be', 'dien', 'ce'] | py=ㄛ-ㄅㄧ-ㄉㄧㄜㄣㄙ | theme=academic-words | stage=3
 7487 | obedient                       | 服從的，順從的                        | 🎨        | chunks=['o', 'be', 'dient'] | py=ㄛ-ㄅㄧ-ㄉㄧㄜㄣㄊ | theme=adjectives | stage=3
 7488 | objection                      | 反對                             | 🎓        | chunks=['ob', 'jec', 'tion'] | py=ㄚㄅ-ㄐㄝㄎ-ㄒㄣ | theme=academic-words | stage=3 base=object
 7489 | obstacle                       | 障礙                             | 🏃        | chunks=['ob', 'stac', 'le'] | py=ㄚㄅ-ㄙㄊㄜ-ㄎㄜ | theme=actions | stage=3
 7490 | occasional                     | 偶爾的，非經常的                       | 🎨        | chunks=['oc', 'ca', 'sio', 'nal'] | py=ㄚㄎ-ㄎㄚ-ㄙㄧㄛ-ㄋㄦ | theme=adjectives | stage=3 base=occasion
 7491 | offend                         | 冒犯                             | 🏃        | chunks=['of', 'fend'] | py=ㄚㄈ-ㄈㄝㄋㄉ | theme=crime | stage=3
 7492 | offense                        | 罪過                             | 🏃        | chunks=['of', 'fen', 'se'] | py=ㄚㄈ-ㄈㄣ-ㄙㄜ | theme=actions | stage=3
 7493 | offensive                      | 冒犯的                            | 🎨        | chunks=['of', 'fen', 'si', 've'] | py=ㄚㄈ-ㄈㄣ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3 base=offense
 7494 | oppose                         | 反對                             | 🏃        | chunks=['op', 'po', 'se'] | py=ㄜ-ㄆㄛㄗ | theme=actions | stage=3 [有易混提示]
 7495 | oral                           | 口頭的，口述的                        | 👄        | chunks=['o', 'ral'] | py=ㄛ-ㄦ | theme=body | stage=3 [有易混提示]
 7496 | outstanding                    | 顯著的                            | 🎨        | chunks=['out', 'stan', 'ding'] | py=ㄠㄊ-ㄙㄊㄢ-ㄉㄧㄥ | theme=adjectives | stage=3
 7497 | overcome                       | 戰勝                             | 🏃        | chunks=['o', 'ver', 'co', 'me'] | py=ㄛ-ㄈㄜ-ㄎㄚㄇ | theme=actions | stage=3 base=come
 7498 | overlook                       | 眺望，俯瞰                          | 🏃        | chunks=['o', 'ver', 'look'] | py=ㄛ-ㄈㄜ-ㄌㄨㄎ | theme=actions | stage=3 base=look
 7499 | overnight                      | 整夜                             | 🏃        | chunks=['o', 'ver', 'night'] | py=ㄛ-ㄈㄜ-ㄋㄞㄊ | theme=actions | stage=3
