# 字 9500-9999
 9500 | dividend                       | 股息                             | 💼        | chunks=['di', 'vi', 'dend'] | py=ㄉㄧ-ㄈㄞ-ㄉㄝㄋㄉ | theme=business | stage=3
 9972 | whirlwind                      | 旋風                             | 🏃        | chunks=['whir', 'lwind'] | py=ㄨㄜ-ㄌㄨㄧㄋㄉ | theme=weather | stage=2
 9973 | mudslide                       | 土石流                            | 🏃        | chunks=['mud', 'sli', 'de'] | py=ㄇㄨㄉ-ㄙㄌㄧ-ㄉㄧ | theme=actions | stage=2
 9974 | volcanic                       | 火山的                            | 🌋        | chunks=['vol', 'ca', 'nic'] | py=ㄈㄚ-ㄎㄚ-ㄋㄧㄎ | theme=nature | stage=2
 9975 | windmill                       | 風車                             | 🏃        | chunks=['win', 'dmill'] | py=ㄨㄧㄣ-ㄉㄇㄧㄌㄌ | theme=weather | stage=2
 9976 | squid                          | 魷魚                             | 🦑        | chunks=['squ', 'id'] | py=ㄙㄎㄨ-ㄌㄝㄉ | theme=animals | stage=2
 9977 | walrus                         | 海象                             | 🐾        | chunks=['wal', 'rus'] | py=ㄨㄛ-ㄌㄜㄙ | theme=animals | stage=3
 9978 | falcon                         | 獵鷹                             | 🐾        | chunks=['fal', 'con'] | py=ㄈㄚ-ㄎㄚㄣ | theme=animals | stage=2
 9979 | vulture                        | 禿鷹                             | 🐾        | chunks=['vul', 'tu', 're'] | py=ㄈㄚㄦ-ㄑㄨ-ㄌㄧ | theme=animals | stage=3
 9980 | raven                          | 渡鴉(大型黑鳥)                       | 🐾        | chunks=['ra', 'ven'] | py=ㄌㄚ-ㄈㄣ | theme=animals | stage=3
 9981 | chinchilla                     | 龍貓                             | 🐾        | chunks=['chin', 'chil', 'la'] | py=ㄔㄧㄋ-ㄑㄧ-ㄌㄚ | theme=animals | stage=4
 9982 | guinea                         | 天竺鼠(guinea pig)                | 🐾        | chunks=['gui', 'nea'] | py=ㄍㄧ-ㄋㄧ | theme=animals | stage=2
 9983 | ferret                         | 雪貂                             | 🐾        | chunks=['fer', 'ret'] | py=ㄈㄜ-ㄌㄝㄊ | theme=animals | stage=2
 9984 | chipmunk                       | 花栗鼠                            | 🐿️       | chunks=['chip', 'munk'] | py=ㄔㄧㄆ-ㄇㄚㄋㄎ | theme=animals | stage=2
 9985 | porcupine                      | 豪豬                             | 🐾        | chunks=['por', 'cu', 'pi', 'ne'] | py=ㄆㄜ-ㄎㄧㄨ-ㄆㄧ-ㄋㄧ | theme=animals | stage=4
 9986 | platypus                       | 鴨嘴獸                            | 🐾        | chunks=['pla', 'ty', 'pus'] | py=ㄆㄌㄚ-ㄊㄧ-ㄆㄚㄙ | theme=animals | stage=4
 9987 | cougar                         | 美洲獅                            | 🐾        | chunks=['cou', 'gar'] | py=ㄎㄚ-ㄍㄚㄦ | theme=animals | stage=2
 9988 | lynx                           | 山貓                             | 🐾        | chunks=['ly', 'nx'] | py=ㄌㄧ-ㄋㄎㄙ | theme=animals | stage=2
 9989 | bobcat                         | 短尾貓                            | 🐾        | chunks=['bob', 'cat'] | py=ㄅㄚ-ㄎㄚ | theme=animals | stage=2
 9990 | mongoose                       | 獴                              | 🐾        | chunks=['mon', 'goo', 'se'] | py=ㄇㄚ-ㄍㄨ-ㄙㄜ | theme=animals | stage=4
 9991 | meerkat                        | 狐獴                             | 🐾        | chunks=['meer', 'kat'] | py=ㄇㄧㄖ-ㄎㄚㄊ | theme=animals | stage=4
 9992 | orangutan                      | 紅毛猩猩                           | 🦧        | chunks=['o', 'ran', 'gu', 'tan'] | py=ㄛ-ㄌㄚㄣ-ㄍㄧㄨ-ㄊㄢ | theme=animals | stage=3
 9993 | baboon                         | 狒狒                             | 🐒        | chunks=['ba', 'boon'] | py=ㄅㄟ-ㄅㄨㄋ | theme=animals | stage=3
 9994 | lemur                          | 狐猴                             | 🐾        | chunks=['le', 'mur'] | py=ㄌㄧ-ㄇㄜ | theme=animals | stage=4
 9995 | armadillo                      | 犰狳                             | 🐾        | chunks=['ar', 'ma', 'dil', 'lo'] | py=ㄚㄦ-ㄇㄚ-ㄉㄧ-ㄌㄛ | theme=animals | stage=4
 9996 | anteater                       | 食蟻獸                            | 🐾        | chunks=['an', 'tea', 'ter'] | py=ㄢ-ㄊㄧ-ㄊㄜ | theme=animals | stage=2
 9997 | badger                         | 獾                              | 🦡        | chunks=['bad', 'ger'] | py=ㄅㄚㄉ-ㄍㄜ | theme=animals | stage=2
 9998 | weasel                         | 黃鼠狼                            | 🐾        | chunks=['wea', 'sel'] | py=ㄨㄝ-ㄙㄝ | theme=animals | stage=2
 9999 | puffer                         | 河豚                             | 🐾        | chunks=['puf', 'fer'] | py=ㄆㄚㄈ-ㄈㄜ | theme=animals | stage=2
