# 字 7500-7999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝㄎ | theme=directions | stage=3
 7989 | lonesome                       | 寂寞的                            | 🎨        | chunks=['lo', 'ne', 'so', 'me'] | py=ㄌㄛㄣ-ㄙㄜㄇ | theme=adjectives | stage=3
 7990 | lotus                          | 蓮花                             | 🌳        | chunks=['lo', 'tus'] | py=ㄌㄛ-ㄊㄜㄙ | theme=nature | stage=3
 7991 | lumber                         | 木材                             | 🪨        | chunks=['lum', 'ber'] | py=ㄌㄣ-ㄅㄜ | theme=materials | stage=3
 7992 | lump                           | 團                              | 🏃        | chunks=['l', 'ump'] | py=ㄌㄚㄇㄆ | theme=actions | stage=3
 7993 | magnify                        | 放大                             | 🏃        | chunks=['mag', 'ni', 'fy'] | py=ㄇㄚ-ㄋㄜ-ㄈㄞ | theme=actions | stage=3
 7994 | maiden                         | 少女                             | 🏃        | chunks=['mai', 'den'] | py=ㄇㄟ-ㄉㄣ | theme=actions | stage=3
 7995 | mainland                       | 大陸                             | 🗺️       | chunks=['main', 'land'] | py=ㄇㄟㄣ-ㄌㄢㄉ | theme=geography | stage=3
 7996 | majestic                       | 雄偉的                            | 🎨        | chunks=['ma', 'jes', 'tic'] | py=ㄇㄚ-ㄐㄝㄙ-ㄊㄧㄎ | theme=adjectives | stage=3 base=majesty
 7997 | majesty                        | 雄偉、陛下                          | 🏃        | chunks=['ma', 'jes', 'ty'] | py=ㄇㄚ-ㄐㄝㄙ-ㄊㄧ | theme=actions | stage=3
 7998 | mammal                         | 哺乳類                            | 🐾        | chunks=['mam', 'mal'] | py=ㄇㄚㄇ-ㄇㄜ | theme=animals | stage=3
 7999 | manifest                       | 明顯的、顯露                         | 🎨        | chunks=['ma', 'ni', 'fest'] | py=ㄇㄚ-ㄋㄜ-ㄈㄝㄙㄊ | theme=adjectives | stage=3
