# 字 9000-9499
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚㄎ-ㄙㄧㄣ | theme=adjectives | stage=3
 9480 | voicemail                      | 語音信箱                           | 🏃        | chunks=['voi', 'ce', 'mail'] | py=ㄈㄛㄧㄙ-ㄇㄟㄦ | theme=actions | stage=3
 9481 | webpage                        | 網頁                             | 🌐        | chunks=['web', 'pa', 'ge'] | py=ㄨㄝㄅ-ㄆㄟㄐ | theme=internet | stage=3
 9482 | widget                         | 小工具                            | 🔨        | chunks=['wid', 'get'] | py=ㄨㄧㄉ-ㄍㄝㄊ | theme=tools | stage=3
 9483 | wireless                       | 無線                             | 🎨        | chunks=['wi', 're', 'less'] | py=ㄨㄧ-ㄌㄧ-ㄌㄝㄙ | theme=adjectives | stage=3 base=wire
 9484 | workspace                      | 工作空間                           | 🏃        | chunks=['work', 'spa', 'ce'] | py=ㄨㄜㄦㄎ-ㄙㄆㄟㄙ | theme=actions | stage=3
 9485 | bankruptcy                     | 破產                             | 🏃        | chunks=['ban', 'krup', 'tcy'] | py=ㄅㄢ-ㄎㄖㄚㄆ-ㄊㄎㄧ | theme=actions | stage=3 base=bankrupt
 9486 | barter                         | 以物易物                           | 🏃        | chunks=['bar', 'ter'] | py=ㄅㄚㄦ-ㄊㄜ | theme=actions | stage=3
 9487 | beneficiary                    | 受益人                            | 🎨        | chunks=['be', 'ne', 'fi', 'cia', 'ry'] | py=ㄅㄧ-ㄋㄧ-ㄈㄜ-ㄎㄧㄚ-ㄌㄧ | theme=adjectives | stage=3
 9488 | benchmark                      | 基準                             | 🏃        | chunks=['benc', 'hmark'] | py=ㄅㄝㄣㄔ-ㄇㄚㄦㄎ | theme=actions | stage=3
 9489 | buyback                        | 回購                             | 🏃        | chunks=['buy', 'back'] | py=ㄅㄞ-ㄅㄚㄎ | theme=actions | stage=3
 9490 | cashflow                       | 現金流                            | 💰        | chunks=['cash', 'flow'] | py=ㄎㄚ-ㄈㄌㄠ | theme=money | stage=3
 9491 | census                         | 人口普查                           | 🏃        | chunks=['cen', 'sus'] | py=ㄙㄝㄣ-ㄙㄜ | theme=actions | stage=3
 9492 | clientele                      | 客戶群                            | 🏢        | chunks=['clien', 'te', 'le'] | py=ㄎㄌㄞ-ㄜㄣ-ㄊㄝㄦ | theme=office | stage=3
 9493 | craftsmanship                  | 工藝                             | 🎓        | chunks=['craft', 'sman', 'ship'] | py=ㄎㄖㄚㄈㄊㄗ-ㄇㄜㄣ-ㄒㄧㄆ | theme=academic-words | stage=3
 9494 | creditor                       | 債權人                            | 👨‍⚕️     | chunks=['cre', 'di', 'tor'] | py=ㄎㄌㄧ-ㄉㄧ-ㄊㄜ | theme=jobs | stage=3
 9495 | debtor                         | 債務人                            | 👨‍⚕️     | chunks=['deb', 'tor'] | py=ㄉㄝ-ㄊㄜ | theme=jobs | stage=3
 9496 | deduction                      | 扣除                             | 🎓        | chunks=['de', 'duc', 'tion'] | py=ㄉㄧ-ㄉㄚㄎ-ㄒㄣ | theme=academic-words | stage=3 base=deduce
 9497 | default                        | 預設、違約                          | 🏃        | chunks=['de', 'fault'] | py=ㄉㄧ-ㄈㄛㄌㄊ | theme=actions | stage=3
 9498 | depreciation                   | 折舊                             | 🎓        | chunks=['dep', 're', 'cia', 'tion'] | py=ㄉㄝ-ㄌㄧ-ㄎㄧㄚ-ㄒㄣ | theme=academic-words | stage=3
 9499 | distributor                    | 經銷商                            | 🏃        | chunks=['dis', 'tri', 'bu', 'tor'] | py=ㄉㄧㄙ-ㄊㄌㄧ-ㄅㄧㄨ-ㄊㄜ | theme=actions | stage=3 base=distribute
